Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Label
-0.00221,-1.128050159888799,0.9368315964919423,3.710322839045526,Jumping
0.00785,-1.076182164405925,0.9491807082792745,3.6799781175445183,Jumping
0.0179,-1.0392982565069926,0.9647730211420675,3.6438534490909382,Jumping
0.028,-1.0148050364178578,0.9779953024497161,3.5986976135239632,Jumping
0.038,-1.0097911301878464,0.9872758470656505,3.5317224782110253,Jumping
0.0481,-0.995268091452642,1.0032922708383116,3.3921367593063922,Jumping
0.0582,-1.0063332638223217,1.0109262672159351,3.2248072950294087,Jumping
0.0682,-1.0305383283809961,1.0089803465706586,3.056610838709539,Jumping
0.0783,-1.0436782205699908,0.9999991743616898,2.9152911357191336,Jumping
0.0884,-1.0146321430995813,0.9836833781820631,2.825990955301883,Jumping
0.0984,-0.9364843632387178,0.962876995897952,2.8112520905728227,Jumping
0.108,-0.8279073593612349,0.9431184170382204,2.880611454003697,Jumping
0.119,-0.6978915840174976,0.926503248451628,3.045339942152022,Jumping
0.129,-0.579632554316545,0.9113849418998639,3.3210434117897467,Jumping
0.139,-0.4897280288128967,0.8970150663655136,3.6903820220591492,Jumping
0.149,-0.3825341714816237,0.8784539771336448,4.070124536843185,Jumping
0.159,-0.22928153416155886,0.8510614018962899,4.362300855295741,Jumping
0.169,-0.036955006911061954,0.820330824321268,4.509689502586348,Jumping
0.179,0.18344939522749715,0.7894056546817186,4.477610796999569,Jumping
0.189,0.38206923926324937,0.7636596276826746,4.299877428207954,Jumping
0.199,0.45931797386907636,0.7467450866891167,4.090065353829561,Jumping
0.209,0.3849046896829798,0.7304921587149527,3.961750531482444,Jumping
0.219,0.18289613660901322,0.7121855360290045,3.9461446747104976,Jumping
0.229,-0.0997498601089948,0.693384948871563,3.993829237069223,Jumping
0.239,-0.35715343235867075,0.6722342883194414,4.071858520928957,Jumping
0.249,-0.5146246666446761,0.6513680315539372,4.168094637689294,Jumping
0.259,-0.5796325543165448,0.6391506436256699,4.237454001120168,Jumping
0.27,-0.5948471663248546,0.6275649314761,4.310281332722586,Jumping
0.28,-0.6066039119676393,0.6145721690137917,4.469807868613596,Jumping
0.29,-0.678527532370558,0.6009956303579006,4.682220919120647,Jumping
0.3,-0.8313652257267601,0.5835422190318045,4.865156240169578,Jumping
0.31,-1.031921474927206,0.5654601256510805,5.036820664660991,Jumping
0.32,-1.233169297400757,0.5558802086281803,5.15819955066502,Jumping
0.33,-1.394305870034219,0.5533355431689725,5.218888993667035,Jumping
0.34,-1.5049575937310167,0.5519883673376272,5.279578436669049,Jumping
0.35,-1.586563239957405,0.5560298948316632,5.357607720528782,Jumping
0.36,-1.6743930456417386,0.571447573790393,5.392287402244219,Jumping
0.37,-1.7878110624309564,0.5898290395780826,5.314258118384486,Jumping
0.38,-1.8804818810270245,0.6080907564029859,5.0619634339046815,Jumping
0.39,-1.9441066221526837,0.632356386849585,4.612861555689773,Jumping
0.4,-1.9724611263499878,0.6481632499373701,4.005967125669626,Jumping
0.41,-1.9856010185389823,0.6491212416396601,3.3904027752206205,Jumping
0.42,-2.013955522736287,0.6386731446365597,2.9135571516333623,Jumping
0.431,-2.1073179146054604,0.6195133105907594,2.6491245785531548,Jumping
0.441,-2.2055213193863685,0.5883621147839511,2.615311888880604,Jumping
0.451,-2.242174702860933,0.5635740794871971,2.7913112735864463,Jumping
0.461,-2.177166815189064,0.5555808362212148,3.09909344881095,Jumping
0.471,-1.9987409107279774,0.5647715691150595,3.462363114780152,Jumping
0.481,-1.7739795969688568,0.5849492693445429,3.7571404093613663,Jumping
0.491,-1.5886379597767204,0.6086445953558723,3.9140659691237185,Jumping
0.501,-1.4475570120633034,0.6261578811633616,3.945277682667611,Jumping
0.511,-1.3292979823623505,0.6243616467215679,3.8559775022503606,Jumping
0.521,-1.2179546853924472,0.6067884864326856,3.6704412050727733,Jumping
0.531,-1.0803316040445552,0.5867604724066849,3.4953088124098164,Jumping
0.541,-0.9067467124952036,0.5753394150809462,3.400806679735251,Jumping
0.551,-0.7290123813072222,0.574740670267015,3.3921367593063922,Jumping
0.561,-0.5664926621275501,0.5832727838655353,3.4311514012362587,Jumping
0.571,-0.36137202932461115,0.5904577216327104,3.5057127169244477,Jumping
0.581,0.09783262401709993,0.6164133093166304,4.509689502586348,Jumping
0.592,0.7804154445717216,0.7476881097710584,6.638154967871293,Jumping
0.602,0.9680392735651044,0.7996292223795949,6.348579625547395,Jumping
0.612,0.8345656318558421,0.7795712711128977,5.813645535086778,Jumping
0.622,0.24147239284100563,0.7424490926491599,5.498927423519189,Jumping
0.632,-0.8733437234042326,0.6627561579149097,4.446399083455675,Jumping
0.642,-2.078064365153119,0.48178553790418743,2.2407713263538844,Jumping
0.652,-2.6896226105598595,0.3777536264836317,2.5294796766348973,Jumping
0.662,-2.8742726744788905,0.37281398176869873,3.0687487273099423,Jumping
0.672,-2.64951136071977,0.4295690026812426,3.500510764667132,Jumping
0.682,-2.1550364704497045,0.5371933829853859,3.954814595139356,Jumping
0.692,-1.8465947906448803,0.6740065729686779,4.4264582664693,Jumping
0.702,-1.639122808713384,0.797946749452448,4.6189304999899745,Jumping
0.712,-1.4994250075461768,0.8644074237988175,4.591186754617625,Jumping
0.722,-1.4634631973447179,0.860491632715707,4.26259677036386,Jumping
0.732,-1.5741149210415157,0.8051077374270659,3.6548353483008276,Jumping
0.743,-1.8548936699221403,0.726657198181723,2.8892813744325556,Jumping
0.753,-2.121840953340665,0.7039048952523352,2.4609873052469093,Jumping
0.763,-2.3569758661963602,0.714532615699615,2.2078256287242195,Jumping
0.773,-2.5637562748547515,0.7335427635419325,2.0673729177766997,Jumping
0.783,-2.581737179955481,0.7468947728925995,2.0084174588604564,Jumping
0.793,-2.256006168323032,0.7175712456303163,2.1384662652933457,Jumping
0.803,-1.8956964930353344,0.6187783513316589,2.1601410663654934,Jumping
0.813,-1.713812722208723,0.4892997853190247,2.4549183609467082,Jumping
0.823,-1.3894648571224841,0.36386274680042646,2.866739581317522,Jumping
0.833,-1.0333046214734163,0.2605493291565882,3.056610838709539,Jumping
0.843,-0.7781140836976761,0.1901968135196656,3.0210641649512167,Jumping
0.853,-0.5685673819468652,0.15232620403851355,2.8103850985299372,Jumping
0.863,-0.1948411851609304,0.13586072165540408,2.3534802919290545,Jumping
0.873,0.02632394757804425,0.11400653594691318,1.8948415012424003,Jumping
0.883,0.020791361393204356,0.0824227470120395,1.6538177133201135,Jumping
0.893,-0.19497949981555146,0.045150882344818837,1.614803071390247,Jumping
0.904,-0.5580554681956693,0.00982493832287461,1.7821325356672302,Jumping
0.914,-1.0265272033969872,-0.01053238535078799,2.062170965519384,Jumping
0.924,-1.4254266673239435,-0.0020002717522676636,2.6075089604946307,Jumping
0.934,-1.8687251353842398,0.035870337728884316,3.203999486000146,Jumping
0.944,-2.3998534091288697,0.1065222257727725,3.659170308515256,Jumping
0.954,-2.8549086228319505,0.1960345754554953,4.169828621775065,Jumping
0.964,-3.2767683194259924,0.28928908022528854,4.504487550329033,Jumping
0.974,-3.6522926067220003,0.3791008023149769,4.44553209141279,Jumping
0.984,-3.8701381877500705,0.4585841763643512,4.402182489268494,Jumping
0.994,-3.91854831686742,0.5043881546300923,4.6050586273038,Jumping
1.0,-4.0568629714884175,0.5226498714549958,4.839146478883,Jumping
1.01,-4.333492280730411,0.5428575089251756,5.220622977752806,Jumping
1.02,-4.720773313669204,0.5700255548573063,5.678394776396574,Jumping
1.03,-5.025065553835398,0.5817010787289658,6.007851752693226,Jumping
1.04,-5.142633010263245,0.5945740922284878,5.860463105402618,Jumping
1.05,-4.948992493793849,0.5935262888041081,5.302987221826969,Jumping
1.06,-4.4565923233430995,0.5727199065199969,4.522694383229637,Jumping
1.07,-3.8251859249982467,0.5290863782047567,3.7675443138759968,Jumping
1.08,-3.1052581476959555,0.5108246613798533,3.086955560210547,Jumping
1.09,-2.6744079985515494,0.5069328200893002,2.3846920054729477,Jumping
1.1,-2.509121986279457,0.5282930413262977,1.7649660932180888,Jumping
1.11,-2.414376447864074,0.5414654272327853,1.3956274829486852,Jumping
1.12,-2.4620950037083182,0.5543384407323074,0.9950771591353881,Jumping
1.13,-2.6322220288921447,0.5383220169596463,0.5979948034936348,Jumping
1.15,-2.5236450250146625,0.4887758836068348,0.6023297637080643,Jumping
1.16,-2.2089791857518932,0.40799023958716013,0.753879972804524,Jumping
1.17,-1.9766105659886177,0.3270100035029576,0.7902936386057328,Jumping
1.18,-1.6660941663644786,0.25426250861030997,0.8553180418221772,Jumping
1.19,-1.4095204820425287,0.2020220235948078,0.9446182222394273,Jumping
1.2,-1.2193378319386574,0.1789703482584546,1.062529140071913,Jumping
1.21,-1.1598625304516288,0.17193509669476223,1.2168537237056076,Jumping
1.22,-1.2061979397496627,0.16819294160769188,1.4266657980840014,Jumping
1.23,-1.3223822496313005,0.17058792086341693,1.600064206661186,Jumping
1.24,-1.4185109345928937,0.16834262781117462,1.704970243850383,Jumping
1.25,-1.547143563390421,0.1548708694977214,1.7968714003962913,Jumping
1.26,-1.6695520327300037,0.15232620403851363,1.802073352653607,Jumping
1.27,-1.6875329378307333,0.15801427977086052,1.7032362597646111,Jumping
1.28,-1.6674773129106888,0.17388101734003886,1.5749214374174945,Jumping
1.29,-1.61630089070092,0.19034649972314832,1.380715219811047,Jumping
1.3,-1.5326205246552163,0.19738175128684068,1.0763143135537991,Jumping
1.31,-1.4392581327860432,0.190645872130114,0.829394979739888,Jumping
1.32,-1.3797828312990141,0.18106595510721388,0.6603315313771327,Jumping
1.33,-1.3334474220009802,0.15741553495692928,0.5614944384881372,Jumping
1.34,-1.349353607282395,0.13092107694047111,0.6308538019190112,Jumping
1.35,-1.4233519475046288,0.11385684974343031,0.8251467187297471,Jumping
1.36,-1.5492182832097363,0.1065222257727725,1.0113766095416434,Jumping
1.37,-1.6840750714652082,0.10712097058670375,1.1258195592025855,Jumping
1.38,-1.8140908468089458,0.1108631256737741,1.0928738615729203,Jumping
1.39,-1.8956964930353344,0.1108631256737741,0.9154872895984602,Jumping
1.4,-1.9116026783167488,0.10861783262153193,0.6919767409424689,Jumping
1.41,-1.8873976137580744,0.10307944309266769,0.5497900459091773,Jumping
1.42,-1.807175114077896,0.09394858468021604,0.5151103641937403,Jumping
1.43,-1.6356649423478595,0.08391960904686747,0.6321542899833402,Jumping
1.44,-1.4295761069625732,0.10682159817973809,0.6742901032675961,Jumping
1.45,-1.4067541889501087,0.14993122478278859,0.6863412926637105,Jumping
1.46,-1.5616666021256256,0.18884963768832022,0.6551295791198172,Jumping
1.47,-1.709663282570093,0.2307617746635082,0.4701134771679609,Jumping
1.48,-1.898462786127754,0.266387091092418,0.23264435662150618,Jumping
1.49,-2.1439712980800243,0.2627946222088304,0.12296986319643677,Jumping
1.5,-2.318247762902481,0.2506700397267224,0.06704887643029463,Jumping
1.51,-2.3763399178433,0.2500712949127912,0.08005375707358348,Jumping
1.52,-2.495290520817357,0.24453290538392705,0.22605521709557314,Jumping
1.53,-2.60940011087968,0.24168886751775356,0.3229849274902195,Jumping
1.54,-2.6564270934508194,0.24004231927944264,0.37092958746181115,Jumping
1.55,-2.6384461883500894,0.2240258955067815,0.34223215084228703,Jumping
1.56,-2.5492332361195467,0.19753143749032342,0.158863333771914,Jumping
1.57,-2.466936016620054,0.1635526692997247,-0.05424331036944621,Jumping
1.58,-2.407460715133024,0.12253864954543364,-0.19946447755283855,Jumping
1.59,-2.336920241276316,0.08287180562248796,-0.2746326876710482,Jumping
1.6,-2.1882319875587437,0.052485506315476646,-0.2996020585061629,Jumping
1.61,-2.0547583458494816,0.03467284810102167,-0.23631163937549035,Jumping
1.62,-1.9282004368712686,0.040959668647299836,-0.1332262854763539,Jumping
1.63,-1.9067616654050141,0.060119502693100055,-0.03187491566298935,Jumping
1.64,-2.1398218584413944,0.08586552969214417,0.07415821118195919,Jumping
1.65,-2.480075908809048,0.11774869103398358,0.12634246224326298,Jumping
1.66,-2.7532473516855176,0.14933247996885735,0.078051005454517,Jumping
1.67,-2.9254490966886593,0.15771490736389493,-0.0425475877109151,Jumping
1.68,-2.90055245885688,0.15801427977086052,-0.18412738831418657,Jumping
1.69,-2.5907276325058457,0.14484189386437293,-0.3682764982231569,Jumping
1.7,-2.3037247241672762,0.13601040785888688,-0.4696191981160926,Jumping
1.71,-2.1432797248069195,0.1343638596205759,-0.4319917434548434,Jumping
1.72,-1.9793768590810377,0.12747829426036641,-0.4027741116095878,Jumping
1.73,-1.8272307389979405,0.10757002919715221,-0.4339858251534811,Jumping
1.74,-1.764297571145387,0.11280904631905073,-0.458261602354287,Jumping
1.75,-1.648804834536854,0.11131218428422256,-0.526753973742275,Jumping
1.76,-1.4897429817227075,0.09334983986628485,-0.6916558602991778,Jumping
1.77,-1.4572390378867728,0.10352850170311614,-0.8240455452478586,Jumping
1.78,-1.6169924639740247,0.1586130245847918,-0.6855348964764033,Jumping
1.79,-1.7200368816666678,0.20771009932715478,-0.4928025653428622,Jumping
1.8,-1.8106329804434211,0.23330644012271595,-0.2985963477364152,Jumping
1.81,-1.9233594239595335,0.2611480739705194,-0.02289287809869119,Jumping
1.82,-1.9814515789003528,0.2683330117376945,0.3221699549699067,Jumping
1.83,-1.8714914284766597,0.24378447436651307,0.417747157777651,Jumping
1.84,-1.749774532410182,0.22567244374509254,0.45814898697613515,Jumping
1.85,-1.5810306537725656,0.2304624022565426,0.499244409808928,Jumping
