Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Label
0.00642,0.4195062188848071,-3.2546768462221163,0.4136673668542754,Walking
0.0165,0.5023093162086989,-4.434678627552397,0.35727316388728947,Walking
0.0266,0.7122055396576342,-5.315562146055235,0.40452236096773725,Walking
0.0366,1.0087561672827354,-5.597879713503602,0.5561770419194966,Walking
0.0467,1.275266601460099,-5.2849914689733115,0.6880175434504232,Walking
0.0568,1.6149518658306692,-4.963999359613115,0.8349473046941378,Walking
0.0669,1.8437194928557474,-3.8457450751819264,0.9654160553420837,Walking
0.0769,1.9477047778671464,-2.217065899610485,1.0105314177156723,Walking
0.087,1.9715828803512456,-0.5496462970472946,0.9093266859046489,Walking
0.0971,1.9492453006080561,0.7224628260082638,0.7453262470060629,Walking
0.107,1.9284482436057762,1.5296868251628477,0.5849838104620921,Walking
0.117,1.9400021641625984,1.9689558299917276,0.45329572569594123,Walking
0.127,1.8991783115284937,2.0962458043931846,0.3630650009487637,Walking
0.137,1.6827348664306925,1.9452372012212695,0.3095362331595598,Walking
0.147,1.367697965914676,1.6068514307627373,0.25631229889990714,Walking
0.158,1.0495800199168404,1.1490028333969984,0.19619912687239566,Walking
0.168,0.7281499500260488,0.6335179681190467,0.12672756548766004,Walking
0.178,0.42805612009685534,0.13305490106238513,0.03454590615135438,Walking
0.188,0.184807579307227,-0.30099600543699434,-0.08629010496277112,Walking
0.198,-0.04396004771785107,-0.6441255016496185,-0.2245016272613193,Walking
0.208,-0.2619440155565618,-0.8646296871189755,-0.38142992827431577,Walking
0.218,-0.45350801838867255,-0.9602948231598222,-0.5503381869986774,Walking
0.228,-0.6055576129164517,-0.9373668153483796,-0.714216692485443,Walking
0.238,-0.7043051206087583,-0.814820566701014,-0.8422467748969785,Walking
0.248,-0.7482100187246823,-0.6226206115644034,-0.9154068219892847,Walking
0.258,-0.7921149168406063,-0.40527890993110766,-1.0196598890958208,Walking
0.268,-0.8914786336292765,-0.19724281698542145,-1.1879279974081247,Walking
0.278,-0.9931531345293112,-0.02144587488550057,-1.269013716268764,Walking
0.289,-1.07942240802025,0.11058782527004839,-1.255601040968508,Walking
0.299,-1.182637431661194,0.18190183577322513,-1.1793926585806889,Walking
0.309,-1.2897037621544123,0.20256076143229398,-0.9962486740262829,Walking
0.319,-1.4006213994999048,0.20297188433098187,-0.6643154436978992,Walking
0.329,-1.5770112533340563,0.21186399825702656,-0.2942475388226511,Walking
0.339,-1.770346857318213,0.23036452869798374,-0.20706514937098638,Walking
0.349,-1.887426585627344,0.2381126140963333,-0.600910069551234,Walking
0.359,-1.8188733236568662,0.21737462634136295,-1.1407092836806323,Walking
0.369,-1.5623762872954148,0.14752326461236445,-1.5476315622786299,Walking
0.379,-1.1748577918196006,0.01501519188140634,-1.8402717506478536,Walking
0.389,-0.7457759927940452,-0.1647720141986645,-1.797534089804765,Walking
0.399,-0.3540980859177751,-0.3403689291959545,-1.2725497852115586,Walking
0.409,-0.08820386083677526,-0.4928006500940973,-0.606183689612471,Walking
0.419,0.09080488165692219,-0.6234902946193203,-0.12454671292145617,Walking
0.43,0.2309154249426518,-0.7626395834060066,0.11700337589497431,Walking
0.44,0.33177344879000437,-0.9492261297336086,0.19065115663456245,Walking
0.45,0.40610367103889344,-1.20934042524963,0.20010099605065196,Walking
0.46,0.4737326193648256,-1.5358668813229337,0.20863633487808766,Walking
0.47,0.5335049017121186,-1.9122024578141996,0.2470453596015483,Walking
0.48,0.5874231976439552,-2.2948630019775864,0.3371541509369053,Walking
0.49,0.6552061982439783,-2.6324581514771044,0.4969478871276838,Walking
0.5,0.7514888695508293,-2.887828721239034,0.7294749034693966,Walking
0.51,0.866257813748596,-3.004050002214278,0.9507840459236224,Walking
0.52,1.0002832922077325,-2.8925724469931255,1.111126482467593,Walking
0.53,1.1235251114805018,-2.547071087903456,1.1745318566142586,Walking
0.54,1.1874568052282508,-2.0244706339943663,1.13185516247708,Walking
0.55,1.1689705323373356,-1.386597644260852,0.9520033800418276,Walking
0.561,1.0803904747350326,-0.7286428821683502,0.7203298975828584,Walking
