Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Label
-0.00121,-0.2985830206807435,0.2932699567122279,-0.6616958892202773,Walking
0.00886,-0.29701607515116873,0.2820016413903509,-0.6702526013565918,Walking
0.0189,-0.30452435581371445,0.2777222492265786,-0.6743929459386794,Walking
0.029,-0.3170729779297257,0.2812309343402513,-0.6639040729973907,Walking
0.0391,-0.32967121998750676,0.2901971219879749,-0.6424846903593907,Walking
0.0492,-0.34941473366014875,0.2986631592438159,-0.6068777269534371,Walking
0.0592,-0.36915824733279073,0.31216277203048015,-0.5564207276463957,Walking
0.0693,-0.3789594916202808,0.3247922958963693,-0.4951436278314988,Walking
0.0794,-0.3788027970673234,0.3284957760634544,-0.4423680355584884,Walking
0.0895,-0.36857064275920015,0.3202994416261755,-0.42343285966974104,Walking
0.0995,-0.34749522538641964,0.30865617360532194,-0.44921340526754,Walking
0.11,-0.32587137707828795,0.2964537655947663,-0.5060741375282102,Walking
0.12,-0.31301458900812706,0.28463288840071327,-0.5902059394362309,Walking
0.13,-0.30116064607689397,0.27811397393254045,-0.6806310651090247,Walking
0.14,-0.2853815045940762,0.2738974005984347,-0.7690136207879887,Walking
0.15,-0.26869353470410495,0.27085173218394026,-0.8451959610984012,Walking
0.16,-0.25419928855553836,0.27439075941287766,-0.8715837572349064,Walking
0.17,-0.23778553413324277,0.27604186691188004,-0.8784291269439579,Walking
0.18,-0.22524996989664467,0.2739908098673026,-0.8777666718108239,Walking
0.19,-0.2214109533491865,0.27139903156209566,-0.8283033552034835,Walking
0.2,-0.23856900689803015,0.2696097835950492,-0.6958123285766794,Walking
0.21,-0.27217998850740877,0.2695308461847383,-0.5347253220362566,Walking
0.22,-0.3123721413410014,0.28246342524066953,-0.39560974407811217,Walking
0.231,-0.35742182531627575,0.30721556586714854,-0.30419093570561717,Walking
0.241,-0.40106125831493283,0.32721962126342863,-0.2903897870986584,Walking
0.251,-0.42840445780601244,0.3340411291377932,-0.36701376416449355,Walking
0.261,-0.43036313971798085,0.3294548655987315,-0.5029274756458235,Walking
0.271,-0.4100868645652834,0.32039021964803305,-0.6152136207120401,Walking
0.281,-0.37490893742633014,0.3072997657714801,-0.6888565496787722,Walking
0.291,-0.34098456671103655,0.29623537209290624,-0.7362220916978547,Walking
0.301,-0.3110559070961586,0.28640108639167683,-0.7767422640078856,Walking
0.311,-0.2891970169585907,0.2710490757097174,-0.8294074470920403,Walking
0.321,-0.27985802160232515,0.24853875753606716,-0.8990756452599682,Walking
0.331,-0.2750788377371221,0.2242655038654741,-0.9734914385486899,Walking
0.341,-0.26669567915389714,0.2088858650899059,-1.0342164924193087,Walking
0.351,-0.26395352447714127,0.20844513121567018,-1.0875441306365974,Walking
0.361,-0.2696728756600892,0.2177268550447235,-1.128174712135484,Walking
0.372,-0.2848409083863728,0.2281334369707068,-1.1535688255722882,Walking
